Gene name,Gene start (bp),Gene end (bp),Chromosome/scaffold name
NKAIN1,31179745,31239887,1
SNRNP40,31259568,31296788,1
SLC25A33,9539465,9585173,1
,29904865,29905357,1
GJB3,34781214,34786369,1
LINC01756,29329620,29350114,1
DNAJC16,15526813,15592379,1
EYA3,27970344,28088637,1
ZNF593,26169908,26170873,1
FABP3,31365253,31376850,1
EPHA2,16124337,16156069,1
LINC02780,3976133,4012704,1
,2811850,2812692,1
ARHGEF19,16197854,16212652,1
KAZN-AS1,14338825,14419973,1
GPR153,6247353,6261098,1
,28239509,28241453,1
KAZN,13892792,15118043,1
CHCHD2P6,15604597,15605043,1
,30858158,30860254,1
,18595414,18595636,1
ICMT-DT,6234692,6239444,1
TNFRSF1B,12166991,12209228,1
TMEM51-AS2,15164344,15171317,1
,30140263,30141607,1
,2773603,2776473,1
LINC01226,31506226,31583306,1
UBE4B,10032832,10181239,1
TMEM51-AS1,15111815,15153618,1
PLA2G5,20028179,20091911,1
PTPRU,29236516,29326813,1
ZMYM6,34986165,35031945,1
,31050872,31051034,1
FTLP18,36630335,36630857,1
GJB5,34755047,34758512,1
AGO4,35808016,35857890,1
CDCA8,37692481,37709719,1
,2363061,2363628,1
CPLANE2,16231692,16237183,1
ZBTB8B,32465072,32496686,1
RPL22,6185020,6209389,1
,15565611,15565956,1
RNF207,6205475,6221299,1
LINC02810,17717625,17749978,1
FTH1P1,37544763,37545294,1
PAX7,18630846,18748866,1
,2814056,2817767,1
,38080572,38080911,1
EXTL1,26019884,26036464,1
CASZ1,10636604,10796650,1
AGMAT,15571699,15585051,1
,15586136,15603626,1
DNALI1,37556919,37566857,1
,42335386,42338376,1
RRAGC,38838198,38859772,1
SPCS2P4,28095742,28096422,1
GRIK3,36795527,37034515,1
PLA2G2D,20111939,20119566,1
YRDC,37802945,37808208,1
,34850694,34851555,1
HNRNPFP1,42040597,42041729,1
CD24P1,15614643,15614867,1
GUCA2B,42153410,42155820,1
RCC2,17406760,17439677,1
HSPA5P1,38708931,38710890,1
,37133489,37136146,1
,31036734,31037240,1
,5561709,5668295,1
PSMB2,35599541,35641526,1
,38864501,38881617,1
CASP9,15490832,15526534,1
DDI2,15617458,15669044,1
,37596126,37607336,1
,10639241,10654333,1
UQCRH,46303698,46316776,1
MIR3659HG,38047314,38119025,1
,37799720,37800879,1
RPS29P6,37330852,37330996,1
,14221887,14304445,1
SELENOWP1,31094987,31095558,1
,38754216,38815979,1
GPR199P,34975699,34978706,1
THRAP3,36224432,36305357,1
,32465057,32600792,1
,18015712,18045612,1
,37556247,37556499,1
PADI6,17372196,17401699,1
,36703953,36710582,1
,42140635,42141391,1
PADI4,17308195,17364004,1
C1orf122,37806979,37809454,1
LINC01654,18065657,18074412,1
EPHA10,37713880,37765133,1
FHL3,37996770,38005606,1
,20478779,20480397,1
RHBDL2,38885807,38941830,1
INPP5B,37860697,37947057,1
FAM183A,43145153,43156396,1
ZMYM4,35268709,35422058,1
UTP11,38009258,38024820,1
,34981533,35031741,1
ACTN4P2,37776670,37779418,1
C1orf216,35713877,35718894,1
SHMT1P1,43850300,43851611,1
ACTL8,17755333,17827063,1
PHB1P12,50780340,50781150,1
RLF,40161387,40240921,1
,43650149,43931014,1
,2814432,2814998,1
CLSPN,35720218,35769978,1
,34761426,34788097,1
GNL2,37566816,37595937,1
GJA4,34792999,34795747,1
TUBAP8,46891639,46892830,1
,31108188,31108623,1
LINC02812,53366656,53368245,1
,52033391,52044279,1
,36768122,36769725,1
FCF1P6,50405430,50406024,1
MORN1,2321253,2391707,1
TUBBP10,52994726,52996026,1
TTC22,54779712,54801323,1
RPL6P1,45781277,45781957,1
TIE1,43300982,43323108,1
MYCBP,38862493,38873368,1
DLGAP3,34865436,34929650,1
GOT2P1,55367466,55368774,1
,53209783,53213775,1
TMA16P2,45846994,45847594,1
RIMS3,40620680,40665682,1
ECHDC2,52895910,52927212,1
RAB3B,51907956,51990700,1
SMIM12,34712737,34859755,1
,46370586,46370955,1
,54974900,54980464,1
MRPS6P2,50846468,50846837,1
TMEM61,54980628,54992288,1
,37782457,37782885,1
,35739389,35743576,1
,56154545,56477687,1
CYP4A26P,46967679,46967874,1
LINC02808,50229662,50321192,1
LINC02778,60114875,60149784,1
,52020153,52033350,1
LINC01343,38209034,38214806,1
,53304536,53307462,1
ERI3,44221070,44355260,1
CZIB,53214099,53220634,1
FAM151A,54609181,54623556,1
PODN,53062052,53085501,1
OSBPL9,51577179,51798427,1
PHB1P3,58999676,59000494,1
C1orf210,43281877,43285617,1
PARS2,54756898,54764523,1
ZYG11A,52842511,52894998,1
,56173433,56524495,1
ZYG11B,52726453,52827336,1
LINC01755,55868254,55950119,1
CZIB-DT,53220663,53224253,1
ST3GAL3-AS1,43709392,43727343,1
L1TD1,62194849,62212328,1
,62896009,62901639,1
,34974356,34985313,1
,36769812,36775768,1
TXNDC12,52020131,52055191,1
,56145721,56155224,1
TXNDC12-AS1,52050918,52052683,1
SF3A3,37956975,37990075,1
,63024207,63025658,1
FGGY-DT,59131932,59296491,1
DOCK7-DT,62688482,62710694,1
LAMTOR5P1,62038842,62039111,1
MTCO2P34,55372710,55373316,1
LINC01685,38474825,38516520,1
PIGQP1,55938714,55939280,1
TTC4,54715861,54742657,1
KLF17,44118821,44135140,1
PLPP3,56494761,56645301,1
,65703962,65714847,1
RSPO1,37611350,37634892,1
SNIP1,37534449,37554293,1
RPS13P2,52772194,52772648,1
,65576129,65578380,1
RPL23AP85,56585612,56586242,1
,62607766,62609584,1
CPT2,53196792,53214197,1
FOXJ3,42176539,42335877,1
TUT4,52408282,52553487,1
GTF2F2P2,40593633,40594353,1
,34640157,34685732,1
KLF18,44137821,44141631,1
,51980473,51980814,1
,65279456,65306521,1
,53069938,53085502,1
RPS15AP7,62190522,62190926,1
GAPDHP51,51707138,51708137,1
,53180921,53186900,1
PATJ-DT,61741998,61742424,1
LINC02791,69215835,69249477,1
CYP4A43P,46994382,46994502,1
MAGOH,53226900,53238518,1
DEPDC1-AS1,68496676,68538627,1
,52881216,52881730,1
LINC01707,69055838,69229607,1
,61481087,61533271,1
,62208136,62208442,1
,38383838,38384422,1
DLEU2L,63547082,63550636,1
CDKN2C,50960745,50974634,1
,73787370,73915340,1
,50206084,50223127,1
LRP8-DT,53328233,53336509,1
ELOCP18,68375327,68375663,1
C1orf87,59987269,60073770,1
,72979014,72979314,1
ZSWIM5,45016399,45306209,1
OMA1,58415384,58546802,1
SLC35D1,66999350,67054148,1
HIGD1AP11,53073110,53073389,1
LRP8,53242364,53328469,1
TCEANC2,54053584,54112519,1
KTI12,52032103,52033810,1
LRRC42,53946085,53968168,1
PIGPP2,62189131,62189953,1
,77346046,77349585,1
GDI2P2,72274552,72275159,1
LINC01360,73305609,73355253,1
LINC02567,76758124,76779267,1
KANK4,62236165,62319434,1
,78317157,78317263,1
USP1,62436297,62451804,1
ERI3-IT1,44243408,44244273,1
,54980950,54992274,1
,53344031,53365473,1
RNFT1P2,78170481,78171237,1
AK5,77282019,77559966,1
,80495903,80496233,1
ADH5P2,79521080,79522203,1
TXNP2,68514375,68514669,1
,75582099,75582555,1
GIPC2,77979542,78138444,1
,65486406,65494188,1
RPE65,68428822,68449954,1
ANGPTL3,62597520,62606313,1
,68679202,68943452,1
,76636877,76637339,1
,62530636,62530873,1
,62905180,62905482,1
KRT8P21,73104792,73106282,1
DNAJC6,65248219,65415871,1
AK4,65147549,65232145,1
LEPROT,65420587,65436007,1
RPL31P12,72301472,72301829,1
LINC02796,72765031,72791282,1
NDUFS5P3,52709122,52709442,1
CACHD1,64470129,64693058,1
,62641122,62641667,1
EFCAB7,63523372,63572693,1
LINC02238,73635216,73715214,1
,43743471,43743741,1
MCOLN2,84925583,84997113,1
ST6GALNAC5,76867480,77067546,1
ATG4C,62784132,62865516,1
,68633701,68640425,1
LINC02797,72793104,72854475,1
,68381441,68381657,1
COX6CP13,65298755,65298980,1
TXN2P1,84085741,84086233,1
,80124004,80124361,1
PDE4B-AS1,66042500,66050718,1
ASB17,75918873,75932404,1
,77081984,77086402,1
,83397555,83425353,1
ADGRL4,78889764,79282124,1
,75521562,75522231,1
GJA9,38874069,38881587,1
,52554818,52555273,1
,77431314,77437604,1
,63078081,63079031,1
,75641178,75724049,1
,61588049,61589904,1
,80373364,80374621,1
,63011197,63018614,1
,72636547,72899240,1
,54033126,54034880,1
MTF1,37809574,37859592,1
,88498309,88498676,1
TTLL7,83865024,83999150,1
,80534978,80584363,1
,89427533,89525472,1
KDM4A,43650149,43705518,1
,76041691,76066349,1
TTLL7-IT1,83979118,83984300,1
,90860550,90862920,1
NEGR1-IT1,71794232,71837012,1
CAPNS1P1,89394033,89394665,1
LINC02777,58882868,58931897,1
LDC1P,31500085,31509648,1
,41585306,41628816,1
ZNHIT6,85649417,85708433,1
MGC27382,78229599,78369464,1
MROH7,54641754,54710266,1
,50252569,50258994,1
,75926454,76019356,1
LINC01763,90851122,90855253,1
,77067920,77078482,1
PTGFR,78303884,78540701,1
LINC02801,87212669,87264741,1
EEF1GP7,52573114,52573816,1
LMO4,87328880,87348923,1
,77129114,77129668,1
PRPF38A,52404602,52420836,1
PIGK,77088989,77219430,1
HNRNPA3P12,53974969,53976031,1
ST6GALNAC3,76074746,76634603,1
,52920422,52920596,1
,40659848,40667480,1
PGBD4P8,60097415,60097976,1
MTND2P30,81080790,81081171,1
RPL7P10,81098267,81099005,1
PKN2-AS1,87620803,88685204,1
LINC02792,79325008,79346445,1
,58228682,58229003,1
GUCA2A,42162690,42164745,1
,44150594,44151753,1
,84785427,84786714,1
,54621477,54628438,1
SLC25A6P3,51709062,51709940,1
PSAT1P3,79054945,79056055,1
DOCK7,62454298,62688386,1
,61654194,61654908,1
,54792885,54794905,1
NEGR1,71395943,72282539,1
,68974010,69023558,1
RPL36AP10,88577880,88578201,1
LINC01712,83445967,83480024,1
,53267935,53268601,1
FAAH,46394317,46413848,1
KYAT3,88935773,88992953,1
,86029854,86030589,1
,77194825,77195395,1
,84038529,84065031,1
SHISAL2A,52633168,52669683,1
HMGB1P18,80283352,80283970,1
,89633140,89933250,1
,80464301,80464718,1
DNTTIP2,93866284,93879918,1
,79323769,79324863,1
,37840986,37841676,1
,53348488,53349233,1
HNRNPA1P64,80451083,80452004,1
,42036143,42051784,1
PTPRF,43525187,43623666,1
DHCR24,54849627,54887195,1
PHKA1P1,90892992,90893612,1
COL24A1,85729233,86156943,1
BSND,54998933,55017172,1
GPX7,52602371,52609051,1
SLC44A3,94820342,94895246,1
ACTG1P21,77773865,77774864,1
LINC01362,82903183,83166815,1
PKN2,88684222,88836255,1
DAB1-AS1,57860532,57880905,1
MTCO1P21,93927714,93928302,1
,50326131,50327007,1
,40669089,40687588,1
,76353583,76354246,1
LINC01364,87353521,87371683,1
,84015865,84018371,1
,79323769,79324852,1
,79967733,80051404,1
MIR4422HG,55217645,55324691,1
ABCD3,94418389,94518666,1
MROH7-TTC4,54641786,54742308,1
ALG14,94974405,95072951,1
ZZZ3,77562416,77683419,1
,54874672,54883664,1
YIPF1,53851719,53889798,1
,103926567,103927806,1
,77248633,77250826,1
,53114576,53118609,1
HNRNPCP9,67660155,67661013,1
KATNBL1P2,94650544,94651378,1
,38839333,38874494,1
LDLRAD1,54007298,54018186,1
,53288024,53289706,1
,99970011,100083321,1
GJB4,34759740,34762327,1
,103414879,103425465,1
,52925249,52925423,1
TMEM125,43269983,43274002,1
DMRTA2,50417550,50423443,1
,100628230,100641723,1
,94318479,94324569,1
,44122153,44122512,1
HIVEP3,41506365,42035925,1
,51793934,51799154,1
,94585556,94592297,1
TM2D1,61681046,61725423,1
HMGB1P45,50398825,50399773,1
SCP2,52927276,53051698,1
,90242088,90284188,1
FAF1-AS1,50461469,50471150,1
MTND4P11,93922574,93923945,1
BCAR3,93561741,93847150,1
,88923370,88923844,1
MTCO3P21,93924743,93925385,1
TBCAP2,14692129,14692613,1
BARHL2,90711539,90717302,1
OAZ1P1,40132764,40133448,1
DMAP1,44213455,44220681,1
,98660388,98661059,1
AHCYL1,109984765,110023742,1
CNN3,94896949,94927223,1
,88313153,88313302,1
OOSP1P1,44155028,44155301,1
,104072983,104226678,1
VAV3,107571161,107965180,1
,57386576,57387450,1
EEF1A1P11,96446930,96448318,1
LINC01361,82970820,82986208,1
,101882516,101882894,1
RPS20P5,57605847,57606206,1
,87805286,87808372,1
,37860697,37861580,1
,50114937,50115282,1
DPYD,97077743,97995000,1
TLCD4,95117355,95197607,1
H3P2,52943536,52943930,1
,102199739,102389630,1
,95356229,95381000,1
POU3F1,38043829,38046793,1
LRRC8D,89821014,89936611,1
,93934479,93935244,1
S1PR1,101236865,101243713,1
,110058340,110062555,1
NFU1P2,98077000,98077468,1
,105890693,105891430,1
ELAPOR1,109113679,109206781,1
ARHGAP29,94148988,94275068,1
ST13P21,108502358,108503455,1
,94417743,94418228,1
,93847174,93848939,1
LINC02790,95937901,96022890,1
,99842610,99842761,1
,100894928,100895356,1
PGM1,63593411,63660245,1
IGSF21,18107798,18378483,1
COA7,52684449,52698347,1
RNPC3-DT,103415980,103525511,1
,100331804,100332617,1
,90388193,90420396,1
DPYD-IT1,97394154,97420141,1
OLFML3,113979391,114035572,1
,14774469,14777727,1
,9421098,9422862,1
GCLM,93885199,93909456,1
TGFBR3,91680343,91906335,1
CNOT7P2,115564601,115565432,1
VAV3-AS1,107964443,107994607,1
,101256274,101256616,1
RPL21P23,56538452,56538911,1
RPL36AP12,100651947,100652267,1
,90719576,90725620,1
,105956694,106124564,1
,95743096,95759470,1
ALG14-AS1,95061596,95067545,1
MTND3P21,93924386,93924716,1
,88462936,88464079,1
ELAVL4-AS1,50174306,50175868,1
,99464378,99464776,1
SZT2,43389882,43454247,1
,54089856,54090093,1
LINC01349,100627049,100640613,1
PHTF1,113696831,113759489,1
,108261196,108273689,1
,108199926,108201491,1
,108495475,108501144,1
,94406395,94406882,1
RRAS2P1,52993201,52993702,1
RPSAP19,101786340,101787219,1
BCAS2P2,100393033,100394026,1
F3,94529173,94541759,1
FTH1P22,116775104,116775623,1
,108508574,108509243,1
WARS2-IT1,119047405,119064785,1
LINC01739,62975751,63022504,1
DNAJA1P5,101893105,101894047,1
VCAM1,100719742,100739045,1
HSP90B3P,91642516,91644082,1
,59289303,59289640,1
HSD3BP2,119439001,119446086,1
LINC01787,96254069,96374125,1
SEC63P1,97545701,97546958,1
CYP4A27P,47000898,47001087,1
LINC01708,99472332,99600995,1
MTATP6P13,93925406,93926072,1
,115577229,115577786,1
LINC02787,90510910,90533472,1
GPR88,100538139,100542021,1
RWDD3,95234210,95247225,1
MAN1A2,117367449,117528872,1
LRIG2-DT,113011687,113073113,1
LPAR3,84811602,84893206,1
,95243167,95278940,1
LINC02868,116694112,116706603,1
,94145111,94145619,1
LINC01753,55915603,55944980,1
DPYD-AS1,97095923,97322955,1
CTTNBP2NL,112396214,112463456,1
,113698884,113699631,1
RBMX2P3,119084998,119085954,1
LINC01676,105587575,105618991,1
LINC01525,117272182,117321336,1
,116909149,116909531,1
,58060139,58080274,1
STRIP1,110031577,110074641,1
TPI1P1,76699789,76700538,1
SLC25A24,108134043,108200849,1
PIFO,111346600,111353013,1
LINC01650,95351251,95352676,1
,97774669,97775026,1
TSPAN2,115048011,115089503,1
GAPDHP23,119462029,119463021,1
LINC01776,98210747,98272658,1
RPL26P9,97585862,97586294,1
LRIG2,113073198,113132260,1
,117493515,117495006,1
SLC35A3,99969351,100035634,1
,108200413,108202743,1
,100344477,100345242,1
AGL,99850361,99924023,1
SLC6A17,110150494,110202202,1
,97967005,97968814,1
CD101-AS1,117025482,117059490,1
HSD3B2,119414931,119423035,1
,100462399,100485997,1
RPL7AP17,100586649,100587431,1
CHIAP3,111353275,111367409,1
RPS3AP12,119126539,119127291,1
GAPDHP64,116713833,116714835,1
,120076616,120077091,1
RNPC3,103525691,103555239,1
SNX7,98661701,98760500,1
LINC01709,101639509,101787572,1
SLC30A7,100896076,100981757,1
SEC22B,120150898,120176520,1
CYP4A44P,47002995,47003148,1
,96390652,96391393,1
PTGFRN,116909916,116990353,1
HSD3BP1,119467221,119473803,1
BCAS2,114567557,114581629,1
ZNF326,89995110,90035533,1
TENT5C-DT,117596832,117605770,1
TRIM45,117111060,117122587,1
RPS26P15,58056133,58056480,1
NBPF17P,143595216,143635641,1
SEPTIN2P1,105698039,105698218,1
DPYD-AS2,97796921,97798066,1
VANGL1,115641970,115698224,1
LINC02788,90835660,90849472,1
VPS25P1,117549415,117549922,1
LINC01780,119327399,119356182,1
TENT5C,117606048,117628389,1
,143354191,143386122,1
LINC01731,148271884,148280749,1
GAPDHP74,119434166,119435080,1
KMT2CP3,143461221,143498767,1
,143449571,143450245,1
MTND5P20,113576757,113576899,1
SYCP1,114854863,114995370,1
,148234273,148234489,1
,143419625,143420207,1
PIP5K1A,151197949,151249536,1
GDAP2,117863485,117929621,1
NEFHP1,116739981,116742609,1
,58084419,58084559,1
VDAC2P3,117640812,117641639,1
,90045998,90047109,1
,110177643,110178719,1
FTLP17,104153306,104153830,1
HIGD1AP12,111380291,111380571,1
,97855575,97856825,1
TSHB,115029826,115034302,1
WDR3,117929720,117966543,1
LINC02798,121396754,121463508,1
PSMC1P12,118614333,118615646,1
SLC22A15,115976513,116070054,1
SCNM1,151156664,151170296,1
FLG,152302165,152325239,1
ALX3,110059870,110070672,1
RPS15AP9,117138229,117138609,1
,120197085,120319680,1
NHLH2,115836377,115843917,1
TRIM33,114392790,114511203,1
FLG-AS1,152168125,152445456,1
,151130075,151131610,1
,118185349,118207051,1
,111317600,111323981,1
,114353986,114355178,1
,119000344,119001392,1
CDC14A,100345001,100520277,1
CD53,110871188,110899922,1
RLIMP2,113125321,113126883,1
MTIF2P1,121502344,121503891,1
,148246169,148246685,1
,118712999,118713678,1
FLG2,152348735,152360006,1
SRGAP2C,121184811,121392874,1
,117700029,117700242,1
SPAG17,117953590,118185228,1
SRGAP2-AS1,121360156,121398806,1
TTF2,117060326,117107453,1
UBE2WP1,96418594,96418933,1
RPL6P2,119219314,119220096,1
SLC6A17-AS1,110165948,110172489,1
HNRNPA1P43,115856910,115857819,1
MAGI3,113390515,113685923,1
EIF2S2P5,114468315,114469282,1
KCNC4-DT,110208834,110209987,1
LINC01649,115904855,115931616,1
,114459934,114460360,1
UBL4B,110112443,110113947,1
GABPB2,151070578,151125542,1
,106080801,106081379,1
CD5L,157830911,157898256,1
,121494329,121511588,1
LINC01761,95474737,95479356,1
CDK4P1,105433994,105434821,1
LINC01768,109828355,109871436,1
,113168994,113169403,1
,93926032,93926188,1
,111323833,111324075,1
HAO2-IT1,119368946,119370331,1
,157400927,157417259,1
TXNP3,112363281,112363581,1
LINC02772,157273760,157283968,1
RPS29P29,151111912,151112728,1
LYSMD1,151159748,151165948,1
ELOCP19,88829102,88829419,1
,115916497,115916699,1
,106780223,106780435,1
PNRC2P1,117778087,117778506,1
,106544342,106544744,1
NUP210L,153992685,154155116,1
DENND2C,114582848,114670422,1
,159557368,159558200,1
CD2,116754430,116769229,1
LINC02799,143499187,143500512,1
LINC01661,106818224,106865316,1
,113198825,113199258,1
DEPDC1,68474152,68497221,1
PKMP1,114535995,114537840,1
,80092103,80093237,1
PPIAP7,101270875,101271363,1
,109884176,109886264,1
OR10AE1P,159581620,159582648,1
MRPS21P2,157861197,157861460,1
,160062461,160080769,1
ELOCP20,115556826,115557475,1
,119000618,119001405,1
,161403409,161470523,1
GPR89A,145607988,145670650,1
,167052551,167058542,1
NR1H5P,114837227,114851453,1
,109895973,109897861,1
,89788914,89790492,1
GTF2B,88852633,88891944,1
MTCO2P21,93926615,93927569,1
,68479129,68483539,1
TNFSF4,173183731,173207331,1
HNRNPA1P68,100941017,100941995,1
PFN1P12,143619994,143620527,1
KCNJ9,160081538,160090563,1
,151994531,152042774,1
,143541768,143572834,1
CSF1,109910242,109930992,1
MTATP6P14,106802755,106803427,1
NKAIN1P1,143487772,143488353,1
DHCR24-DT,54887563,54888850,1
,113449700,113450728,1
LINC02805,148156139,148186980,1
TNFAIP8L2,151156649,151159749,1
RGS5,163244505,163321894,1
FMO8P,166566178,166580705,1
RPL7AP19,168542737,168543354,1
NAP1L4P1,116532936,116534092,1
LMX1A-AS1,165215951,165219104,1
LINC01307,101323337,101390303,1
IGSF8,160091340,160098943,1
MPC2,167916675,167937072,1
TLCD4-RWDD3,95117923,95247225,1
SLC25A24P2,108383736,108421295,1
,143343180,143343275,1
FMO11P,166763334,166792767,1
LINC00624,147258885,147517875,1
C1orf112,169662007,169854080,1
FAM78B,166057426,166167001,1
,144168752,144168850,1
LAMC1,183023420,183145592,1
,105891739,105893517,1
,168317497,168376876,1
,98052077,98054592,1
,160775954,160776608,1
MGST3,165631213,165661796,1
CASQ1,160190575,160201886,1
,160931739,160934380,1
LINC01701,189775465,189814918,1
ILF2,153661788,153671028,1
,59054397,59056049,1
TIPRL,168178962,168202109,1
,80114943,80116918,1
,143498785,143499102,1
NME7,169132531,169367948,1
RCSD1,167630093,167708696,1
FDPSP1,187563061,187564131,1
,163259850,163260659,1
TNR,175315194,175743616,1
SFT2D2,168225938,168253021,1
FAM78B-AS1,166081183,166087483,1
UCK2,165827614,165911618,1
,191179521,191179739,1
,160776975,160780140,1
PIGM,160024953,160031990,1
LINC01720,190624890,190801658,1
XCL2,168540768,168543997,1
LRRC8D-DT,89820174,89820868,1
POU2F1,167220876,167427345,1
,56619409,56619549,1
,166147782,166165095,1
CNN2P10,166796266,166797183,1
,108420689,108433184,1
,174998353,174999623,1
KIFAP3,169921326,170085208,1
,170598854,170647339,1
,55329288,56070513,1
LAMC1-AS1,183138402,183141282,1
TNR-IT1,175538775,175556818,1
MTCO1P14,106804474,106806032,1
TBX15,118883046,118989556,1
,189868001,189868528,1
,188013642,188144768,1
,190781787,190781995,1
,175203228,175204849,1
,169762929,169764648,1
,168401483,168407274,1
,160202199,160208869,1
RPL34P1,168210616,168210969,1
,176829128,176831841,1
,173351689,173352004,1
,165889725,165900995,1
CD48,160678746,160711831,1
MRPS10P1,169990067,169990196,1
RXRG,165400922,165445355,1
,144179777,144211729,1
LINC01657,175877343,175880468,1
TPR,186311652,186375693,1
,95120147,95138554,1
ATP1A2,160115759,160143591,1
METTL18,169792529,169794963,1
,95282233,95287702,1
LINC01680,191221159,191228467,1
,160932465,160949922,1
CHIA,111290851,111320566,1
PRELID1P7,165497724,165498348,1
CRYZL2P-SEC16B,177928788,178038007,1
EXTL2,100872372,100895179,1
,190797524,190797956,1
ANKRD36BP1,168245565,168247343,1
,166275629,166277597,1
DDX59,200623896,200669907,1
NIBAN1,184790724,184974508,1
LPGAT1-AS1,211829636,211853703,1
,189868381,189876160,1
WDR82P2,91534666,91535593,1
,186578279,186579299,1
RPL5P6,91023919,91024804,1
OR10J5,159535078,159536007,1
LAMC2,183186238,183245127,1
DDX59-AS1,200669507,200694250,1
CD58,116514534,116571039,1
HSPE1P6,203903723,203904013,1
EEF1A1P14,194188967,194190342,1
,168215405,168215652,1
RPS29P4,175297080,175297240,1
GPA33,167052836,167166479,1
XCL1,168576605,168582069,1
LINC01633,184999710,185008789,1
,59055999,59078116,1
,186176814,186177302,1
,204064533,204073965,1
SETP9,160670148,160670979,1
LINC02770,191823432,192011260,1
KCNJ10,159998651,160070160,1
,211936249,211936634,1
,160935537,160936126,1
LINC02775,214051194,214187773,1
,165941235,165941769,1
NUF2,163266576,163355764,1
TUBB8P9,227506182,227508292,1
,173362397,173363733,1
,194350943,194352426,1
MFSD4A,205568885,205602918,1
TBX19,168280877,168314426,1
GCSHP5,168055901,168056422,1
NR5A2,200027614,200177420,1
LINC02803,175904762,175921057,1
,175307218,175335459,1
SCYL3,169849631,169894267,1
DUSP10,221701424,221742089,1
,190878145,191151410,1
,157204779,157205040,1
,189989570,189993097,1
LINC02802,144227029,144250326,1
QRSL1P1,168449672,168451211,1
,194718795,194719236,1
,166387727,166452632,1
,191858707,191890229,1
,188067298,188067525,1
NMNAT2,183248237,183418380,1
,169915004,169915198,1
LINC01139,238476542,238486060,1
TARBP1,234391313,234479179,1
CBX1P3,203954640,203955780,1
,170024077,170024683,1
LY9,160796074,160828261,1
TDRD5,179591613,179691272,1
ISCUP1,170211010,170211457,1
,186580515,186581191,1
,200147531,200148279,1
